士兵	Model.231025143345209-1	103.487378	35.677788	2011.978	步兵连	-1210135.1685510000 	5045472.0347960000 	3700382.7212280000 	0	0	0
士兵	Model.231025143347495-2	103.753706	35.769762	1993.374	步兵连	-1232154.2412890000 	5033988.4271050000 	3708659.2052350000 	-22019.0727380000 	-11483.6076910002 	8276.4840070000 
士兵	Model.231025143348800-3	103.674912	35.738516	1862.246	步兵连	-1225684.1586990000 	5037543.6464020000 	3705768.2474200000 	-15548.9901480000 	-7928.3883940000 	5385.5261920001 
士兵	Model.231025144139130-8	103.59803	35.703581	1945.507	步兵连	-1219471.5770440000 	5041449.7754840000 	3702668.9715280000 	-9336.4084929999 	-4022.2593120001 	2286.2503000004 
坦克车	Model.231025144233676-11	103.730905	35.661185	1787.186	装甲师	-1231780.8824290000 	5041149.3670100000 	3698754.6433280000 	-21645.7138779999 	-4322.6677860003 	-1628.0778999999 
坦克车	Model.231025144235409-13	103.782244	35.749505	1977.292	装甲师	-1234971.3276430000 	5034637.4654440000 	3706825.3595450000 	-24836.1590920000 	-10834.5693520000 	6442.6383170001 
坦克车	Model.231025144242554-15	103.482449	35.551473	2063.496	装甲师	-1211614.2758410000 	5053555.7731490000 	3689015.6411900000 	-1479.1072900000 	8083.7383529991 	-11367.0800379999 
坦克车	Model.231025144243308-16	103.5901	35.657047	1965.951	装甲师	-1219485.5347630000 	5044562.6696920000 	3698485.7096450000 	-9350.3662119999 	-909.3651040001 	-1897.0115830000 
坦克车	Model.231025144245394-18	103.815974	35.755862	2210.537	装甲师	-1237881.7569980000 	5033693.0504930000 	3707534.2443350000 	-27746.5884469999 	-11778.9843030004 	7151.5231070002 
坦克车	Model.231025144245987-19	103.748321	35.728449	1946.322	装甲师	-1232308.6940030000 	5036669.2536240000 	3704910.3819050000 	-22173.5254519999 	-8802.7811720008 	4527.6606770004 
工程车	Model.231025144302890-22	103.594852	35.494607	2251.079	工程车	-1222423.8793330000 	5054881.8839830000 	3683987.8704430000 	-12288.7107819999 	9409.8491869997 	-16394.8507849998 
运输车	Model.231025144308704-23	103.609294	35.563855	2000.968	运输车	-1222599.1688380000 	5050034.8944950000 	3690097.2598720000 	-12464.0002869999 	4562.8596989997 	-10285.4613559996 
运输车	Model.231025144309585-24	103.768681	35.619869	1788.622	运输车	-1235740.5198980000 	5042932.3953460000 	3695028.9796870000 	-25605.3513469999 	-2539.6394500006 	-5353.7415409996 
医疗车	Model.231025144318820-25	103.855288	35.624689	2049.141	医疗车	-1243337.9866600000 	5040961.8148710000 	3695615.5633770000 	-33202.8181089999 	-4510.2199250003 	-4767.1578509999 
医疗车	Model.231025144319867-26	103.614866	35.500494	1947.834	医疗车	-1224042.1039970000 	5053845.8899240000 	3684343.7260460000 	-13906.9354460000 	8373.8551279996 	-16038.9951819996 
指挥帐篷	Model.231025144341284-27	103.792645	35.601789	1882.073	指挥中心	-1238146.2890730000 	5043623.5875210000 	3693452.0567980000 	-28011.1205219999 	-1848.4472750006 	-6930.6644299999 
雷达车	Model.231025151702788-30	103.550547	35.606382	2118.366	雷达车	-1216799.4154860000 	5048708.4796870000 	3694004.0883050000 	-6664.2469349999 	3236.4448909992 	-6378.6329229996 
雷达车	Model.231025151704427-31	103.755584	35.641192	1800.182	雷达车	-1234262.1702380000 	5041884.7833710000 	3696959.1833270000 	-24127.0016870000 	-3587.2514250008 	-3423.5379009997 
电台	Model.231025151721102-33	103.54763	35.668119	2250.495	电台	-1215632.2863580000 	5044993.4528920000 	3699650.0201740000 	-5497.1178069999 	-478.5819040006 	-732.7010539998 
电台	Model.231025151722351-34	103.785347	35.625217	1863.218	电台	-1237139.4112270000 	5042295.8781200000 	3695554.9009260000 	-27004.2426759999 	-3176.1566760009 	-4827.8203019998 
电台	Model.231025151724419-35	103.669433	35.582157	2186.251	电台	-1227655.4887300000 	5047747.0650340000 	3691857.2515130000 	-17520.3201790000 	2275.0302379997 	-8525.4697149997 
电台	Model.231025151807864-36	103.792281	35.729003	2390.809	电台	-1236250.1616630000 	5036037.8415180000 	3705219.8559200000 	-26114.9931119999 	-9434.1932780007 	4837.1346920002 
电台	Model.231025151808622-37	103.603178	35.586583	2189.301	电台	-1221750.9685150000 	5048887.8880020000 	3692258.5315340000 	-11615.7999640000 	3415.8532059994 	-8124.1896939999 
电台	Model.231025151809298-38	103.655359	35.695566	1880.385	电台	-1224625.4006600000 	5040680.0997920000 	3701908.5701280000 	-14490.2321090000 	-4791.9350040006 	1525.8489000001 
电台	Model.231025151809972-39	103.722438	35.736165	1908.526	电台	-1229907.3681590000 	5036709.7716770000 	3705583.4800760000 	-19772.1996080000 	-8762.2631190000 	5200.7588480003 
电台	Model.231025151813378-40	103.530622	35.6454	2145.88	电台	-1214458.6697640000 	5046700.5598520000 	3697540.1734470000 	-4323.5012129999 	1228.5250559999 	-2842.5477809999 
电台	Model.231025151814264-41	103.798063	35.666488	2280.789	电台	-1237702.7115640000 	5039758.3040790000 	3699520.6133390000 	-27567.5430129999 	-5713.7307170006 	-862.1078889999 
雷达车	Model.231025151826942-43	103.696093	35.71329	1850.428	雷达车	-1227931.1461100000 	5038669.1793520000 	3703488.4620420000 	-17795.9775590000 	-6802.8554440001 	3105.7408140004 
